WHSE DSP_LOCN   LOCN_PICK_SEQ            SKU_BRCD
---- ---------- ------------------------ --------------------
0309 BKW28A01   01002                    960076950
0309 BKW28B01   01002                    138350070
0309 BKW28B02   01002                    138350096
0309 BKW28E02   01002                    960162206
0309 BKW28B03   01002                    960100459
0309 BKW28B04   01002                    138350188
0309 BKW28C05   01002                    960135038
0309 BKW28C04   01002                    960076951
0309 BKW28E01   01002                    960162205
0309 BKW28C02   01002                    960100476
0309 BKW28C03   01002                    960100477
0309 BKW28C06   01002                    138900012
0309 BKW28C09   01002                    960022800
0309 BKW27D07   01003                    960017696
0309 BKW27D09   01003                    138350022
0309 BKW27D12   01003                    138350206
0309 BKW27C11   01003                    138010109
0309 BKW27C12   01003                    960069007
0309 BKW27B02   01003                    960273951
0309 BKW27D01   01003                    138900010
0309 BKW27D04   01003                    960037500
0309 BKW27C10   01003                    960100584
0309 BKW27 CH   01003                    960071705
0309 BKW27 CH   01003                    960049507
0309 BKW27 CH   01003                    960016536
0309 BKW27 CH   01003                    960049508
0309 BKW27 CH   01003                    960071706
0309 BKW27 CH   01003                    960314284
0309 BKW27 CH   01003                    960226420
0309 BKW27 CH   01003                    960272458
0309 BKW27 CH   01003                    960272459
0309 BKW27 CH   01003                    960272462
0309 BKW27 CH   01003                    960272545
0309 BKW27 CH   01003                    960229266
0309 BKW27 CH   01003                    960228929
0309 BKW27 CH   01003                    960133064
0309 BKW27 CH   01003                    960278524
0309 BKW27 CH   01003                    960278533
0309 BKW27 CH   01003                    960278534
0309 BKW27 CH   01003                    960269218
0309 BKW27 CH   01003                    960272168
0309 BKW27 CH   01003                    188560008
0309 BKW27 CH   01003                    960259730
0309 BKW27 CH   01003                    960272680
0309 BKW27 CH   01003                    960283493
0309 BKW27 CH   01003                    960079385
0309 BKW27 CH   01003                    960304348
0309 BKW27 CH   01003                    188560094
0309 BKW27 CH   01003                    960169167
0309 BKW27 CH   01003                    960226421
0309 BKW27 CH   01003                    960239733
0309 BKW27 CH   01003                    960196316
0309 BKW27 CH   01003                    960264344
0309 BKW27 CH   01003                    960225181
0309 BKW27 CH   01003                    960225510
0309 BKW27 CH   01003                    960226760
0309 BKW27 CH   01003                    188560007
0309 BKW27 CH   01003                    960215807
0309 BKW27 CH   01003                    960283491
0309 BKW27 CH   01003                    960272470
0309 BKW27 CH   01003                    960272669
0309 BKW27 CH   01003                    960272692
0309 BKW27 CH   01003                    960304347
0309 BKW27 CH   01003                    960304349
0309 BKW27 CH   01003                    960272537
0309 BKW27 CH   01003                    960272548
0309 BKW27 CH   01003                    960272550
0309 BKW27 CH   01003                    960272665
0309 BKW27 CH   01003                    960272697
0309 BKW27 CH   01003                    960272698
0309 BKW27 CH   01003                    960309877
0309 BKW27 CH   01003                    960269219
0309 BKW27 CH   01003                    960269220
0309 BKW27 CH   01003                    960278529
0309 BKW27 CH   01003                    960278530
0309 BKW27 CH   01003                    960139028
0309 BKW27 CH   01003                    960139939
0309 BKW27 CH   01003                    960272454
0309 BKW27 CH   01003                    960272511
0309 BKW27 CH   01003                    960272549
0309 BKW27 CH   01003                    960272551
0309 BKW27 CH   01003                    960272696
0309 BKW27 CH   01003                    960272555
0309 BKW27 CH   01003                    960309878
0309 BKW27 CH   01003                    960318423
0309 BKW27 CH   01003                    960278526
0309 BKW27 CH   01003                    960278528
0309 BKW27 CH   01003                    960278531
0309 BKW27 CH   01003                    960272169
0309 BKW27 CH   01003                    960272455
0309 BKW27 CH   01003                    960272457
0309 BKW27 CH   01003                    960272460
0309 BKW27 CH   01003                    960272461
0309 BKW27 CH   01003                    960272554
0309 BKW27 CH   01003                    960188482
0309 BKW27 CH   01003                    960196315
0309 BKW27 CH   01003                    960278522
0309 BKW27 CH   01003                    960278532
0309 BKW27 CH   01003                    960139025
0309 BKW27 CH   01003                    960139029
0309 BKW27 CH   01003                    960272170
0309 BKW27 CH   01003                    960272469
0309 BKW27 CH   01003                    960272688
0309 BKW27 CH   01003                    960307215
0309 BKW27 CH   01003                    960283492
0309 BKW27 CH   01003                    960304350
0309 BKW27 CH   01003                    960307278
0309 BKW27 CH   01003                    960135296
0309 BKW27 CH   01003                    960278527
0309 BKW27 CH   01003                    960137702
0309 BKW27 CH   01003                    960289683
0309 BKW27 CH   01003                    960307279
0309 BKW27 CH   01003                    960143998
0309 BKW27 CH   01003                    960135295
0309 BKW27 CH   01003                    960138372
0309 BKW27 CH   01003                    960296684
0309 BKW27 CH   01003                    960272531
0309 BKW27 CH   01003                    960278523
0309 BKW27 CH   01003                    960272573
0309 BKW27 CH   01003                    960272679
0309 BKW27 CH   01003                    960105614
0309 BKW27 CH   01003                    960106627
0309 BKW27 CH   01003                    960088885
0309 BKW27 CH   01003                    960076949
0309 BKW27 CH   01003                    960096423
0309 BKW27 CH   01003                    960096638
0309 BKW27 CH   01003                    960096639
0309 BKW27 CH   01003                    960063436
0309 BKW27 CH   01003                    960134356
0309 BKW27 CH   01003                    138350084
0309 BKW27 CH   01003                    138350158
0309 BKW27 CH   01003                    960120619
0309 BKW27 CH   01003                    960081438
0309 BKW27 CH   01003                    188560199
0309 BKW27 CH   01003                    960140251
0309 BKW27 CH   01003                    960168253
0309 BKW27 CH   01003                    960169827
0309 BKW27 CH   01003                    960088213
0309 BKW27 CH   01003                    960074203
0309 BKW27 CH   01003                    960109857
0309 BKW27 CH   01003                    960106661
0309 BKW27 CH   01003                    960074665
0309 BKW27 CH   01003                    960096657
0309 BKW27 CH   01003                    960100712
0309 BKW27 CH   01003                    960084048
0309 BKW27 CH   01003                    188560086
0309 BKW27 CH   01003                    188560212
0309 BKW27 CH   01003                    138350014
0309 BKW27 CH   01003                    960096640
0309 BKW27 CH   01003                    960096658
0309 BKW27 CH   01003                    960121823
0309 BKW27 CH   01003                    188530023
0309 BKW27 CH   01003                    188560137
0309 BKW27 CH   01003                    960041389
0309 BKW27 CH   01003                    960012281
0309 BKW27 CH   01003                    960084062
0309 BKW27 CH   01003                    960026617
0309 BKW27 CH   01003                    960133277
0309 BKW27 CH   01003                    960054198
0309 BKW27 CH   01003                    960051421
0309 BKW27 CH   01003                    138350055
0309 BKW27 CH   01003                    960124276
0309 BKW27 CH   01003                    138350308
0309 BKW27 CH   01003                    960108338
0309 BKW27 CH   01003                    960040242
0309 BKW27 CH   01003                    288560082
0309 BKW27 CH   01003                    960123099
0309 BKW27 CH   01003                    138350197
0309 BKW27 CH   01003                    138900096
0309 BKW27 CH   01003                    960107733
0309 BKW27 CH   01003                    138350097
0309 BKW27 CH   01003                    138350098
0309 BKW27 CH   01003                    960082893
0309 BKW27 CH   01003                    960083929
0309 BKW27 CH   01003                    288560100
0309 BKW27 CH   01003                    960013780
0309 BKW27A01   01003                    960068965
0309 BKW27A02   01003                    138350091
0309 BKW27D03   01003                    960291333
0309 BKW27D08   01003                    138350011
0309 BKW27D10   01003                    960291332
0309 BKW27B04   01003                    960030761
0309 BKW27C01   01003                    960225901
0309 BKW27C02   01003                    138350008
0309 BKW27D02   01003                    960188480
0309 BKW27D06   01003                    138350216
0309 BKW27D05   01003                    960062347
0309 BKW27C03   01003                    960053873
0309 BKW27C04   01003                    138350144
0309 BKW27A03   01003                    138350194
0309 BKW27D11   01003                    960120604
0309 BKW27B01   01003                    138350058
0309 BKW27B03   01003                    960264309
0309 BKW26D05   01004                    136300258
0309 BKW26E05   01004                    960055454
0309 BKW26B04   01004                    960300892
0309 BKW26B09   01004                    960123329
0309 BKW26C02   01004                    136300246
0309 BKW26B03   01004                    960158467
0309 BKW26C04   01004                    136300006
0309 BKW26D01   01004                    960237982
0309 BKW26D02   01004                    136300304
0309 BKW26B10   01004                    960123327
0309 BKW26A07   01004                    960101068
0309 BKW26A09   01004                    960228154
0309 BKW26C03   01004                    136300755
0309 BKW26C06   01004                    136300005
0309 BKW26C07   01004                    960255676
0309 BKW26D03   01004                    136300312
0309 BKW26B02   01004                    960055429
0309 BKW26E08   01004                    960075040
0309 BKW26E10   01004                    960128277
0309 BKW26A03   01004                    960050143
0309 BKW26E04   01004                    960055455
0309 BKW26A04   01004                    960055227
0309 BKW26C01   01004                    960277302
0309 BKW26D07   01004                    136300374
0309 BKW26B05   01004                    960301018
0309 BKW26D04   01004                    136300310
0309 BKW26E01   01004                    960292207
0309 BKW26A08   01004                    960101067
0309 BKW26C09   01004                    960127862
0309 BKW26A05   01004                    960055230
0309 BKW26B08   01004                    960124054
0309 BKW26C05   01004                    136300754
0309 BKW26E06   01004                    960115193
0309 BKW26E09   01004                    960091688
0309 BKW26C10   01004                    960127861
0309 BKW26C08   01004                    960255675
0309 BKW26A01   01004                    960082464
0309 BKW26B06   01004                    960070745
0309 BKW26E02   01004                    960055457
0309 BKW26D06   01004                    960032811
0309 BKW26D09   01004                    960055561
0309 BKW26 CH   01004                    960080389
0309 BKW26 CH   01004                    136300375
0309 BKW26 CH   01004                    960080387
0309 BKW26 CH   01004                    136300002
0309 BKW26 CH   01004                    136300232
0309 BKW26 CH   01004                    136300306
0309 BKW26 CH   01004                    960272640
0309 BKW26 CH   01004                    960280437
0309 BKW26 CH   01004                    960305825
0309 BKW26 CH   01004                    960280438
0309 BKW26 CH   01004                    960280439
0309 BKW26 CH   01004                    960127767
0309 BKW26 CH   01004                    960094441
0309 BKW26 CH   01004                    960278789
0309 BKW26 CH   01004                    960098571
0309 BKW26 CH   01004                    960094442
0309 BKW26 CH   01004                    960094443
0309 BKW26 CH   01004                    960127181
0309 BKW26 CH   01004                    960088722
0309 BKW26 CH   01004                    960127182
0309 BKW26 CH   01004                    136300477
0309 BKW26 CH   01004                    960080388
0309 BKW26 CH   01004                    960063320
0309 BKW26 CH   01004                    960085213
0309 BKW26 CH   01004                    136301345
0309 BKW26A02   01004                    960050144
0309 BKW26B01   01004                    960082483
0309 BKW26B07   01004                    960070746
0309 BKW26E03   01004                    960055456
0309 BKW26A06   01004                    960038589
0309 BKW26D08   01004                    960055562
0309 BKW26D10   01004                    960142682
0309 BKW25F02   01005                    960275371
