WHSE,DSP_LOCN,LOCN_PICK_SEQ,SKU_BRCD
1211,BKTBD9,,97150346
1211,TBDR51,,58400031
1211,TBDL6,,90010036
1211,TBDB5,,90010036
1211,TBDL33,,90010040
1211,TBDL34,,90010041
1211,TBDL22,,90010364
1211,TBDB7,,90010052
1211,TBDL8,,90010052
1211,TBDL23,,90010055
1211,TBDL35,,90010078
1211,00 L23,,60010029
1211,00 L14,,60010067
1211,00 L8,,60010194
1211,00 L22,,60010128
1211,TBDL47,,90010358
1211,TBDL46,,90010356
1211,TBDB13,,62700124
1211,TBDL14,,62700124
1211,00 L17,,60010037
1211,00 L18,,60010039
1211,00 L43,,60450029
1211,00 L15,,60100167
1211,00 L1,,60010113
1211,00 L2,,60010121
1211,TBDL1,,57180140
1211,00 R12,,53350132
1211,00 R48,,53350167
1211,TBDL51,,62100133
1211,TBDL54,,62100132
1211,TBDL39,,62100036
1211,TBDL19,,62100113
1211,TBDL49,,62100477
1211,TBDL48,,62100828
1211,TBDL41,,62100054
1211,TBDL45,,62100033
1211,TBDL21,,62100128
1211,TBDL43,,62100034
1211,TBDL56,,62100793
1211,TBDL56,,62100791
1211,TBDL45,,90150037
1211,00 L10,,60050035
1211,TBDR65,,58400154
1211,00 L11,,60050033
1211,00 L6,,60010017
1211,00 L9,,60050037
1211,00 L4,,60010013
1211,00 L25,,60010198
1211,00 R26,,53450151
1211,TBDR24,,58050272
1211,TBDR29,,56450266
1211,00 R8,,53350195
1211,00 R28,,53450133
1211,00 R29,,53350055
1211,00 R27,,53450395
1211,00 R23,,53500043
1211,TBDTBD24,,62700004
1211,TBDL1,,62100266
1211,00 L37,,50200099
1211,00 L35,,50200100
1211,00 L36,,50200065
1211,TBDL48,,61150178
1211,TBDL38,,90010321
1211,TBDL37,,90010057
1211,TBDL42,,90150044
1211,TBDL39,,90010209
1211,TBDL40,,90010371
1211,TBDL41,,90010361
1211,00 L1,,65200125
1211,00 R81,,53350063
1211,TBDL11,,62100840
1211,TBDL38,,62100081
1211,TBDL39,,62100096
1211,00 R52,,53990272
1211,TBDR43,,59350019
1211,00 R70,,65450436
1211,00 R71,,65450437
1211,00 L3,,60010006
1211,00 R35,,6060029
1211,TBDR73,,57250163
1211,TBDR44,,56050013
1211,TBDL52,,62050196
1211,TBDR33,,56050050
1211,TBDB6,,90010537
1211,TBDL7,,90010537
1211,TBDL5,,90010081
1211,TBDB4,,90010081
1211,TBDL26,,90010053
1211,TBDL28,,90010086
1211,TBDL27,,90010085
1211,TBDL20,,90010359
1211,TBDB19,,90010359
1211,TBDL21,,90010244
1211,TBDB18,,90150039
1211,TBDL31,,90010079
1211,TBDL19,,90150039
1211,TBDL30,,90010063
1211,TBDL29,,90010043
1211,TBDL18,,90010042
1211,TBDB17,,90010042
1211,TBDB16,,62700010
1211,TBDL17,,62700010
1211,00 L24,,60010024
1211,00 L12,,60010062
1211,00 L10,,60010050
1211,00 L6,,60010052
1211,TBDR39,,56450261
1211,TBDR41,,56050008
1211,TBDR38,,56400088
1211,TBDL3,,57600083
1211,TBDL4,,57600064
1211,TBDR38,,59400037
1211,TBDR40,,59400026
1211,TBDR36,,59400040
1211,TBDR17,,59850031
1211,00 L30,,50200116
1211,TBDR45,,59150070
1211,00 L7,,60010021
1211,00 R73,,53350214
1211,TBDL43,,62100022
1211,TBDR42,,56050059
1211,00 L43,,50200027
1211,00 L5,,60010122
1211,TBDL10,,62150012
1211,TBDL34,,57500048
1211,TBDR54,,58400042
1211,TBDR43,,56050054
1211,TBDL31,,62100075
1211,TBDL10,,57010083
1211,TBDL8,,57010007
1211,TBDL11,,57010084
1211,00 R2,,53350110
1211,00 R1,,53350108
1211,00 R17,,53350134
1211,00 R16,,53350278
1211,00 R15,,53350277
1211,00 R13,,53350279
1211,00 R14,,53350275
1211,00 R75,,53350280
1211,TBDR14,,58050023
1211,00 L27,,50200104
1211,00 L33,,50200103
1211,TBDL21,,62100351
1211,TBDL27,,62100184
1211,TBDL19,,62100326
1211,TBDR45,,56050051
1211,TBDR40,,56050009
1211,TBDL23,,62100195
1211,TBDR8,,56010286
1211,TBDL44,,62100178
1211,TBDR14,,58050069
1211,00 L42,,60450028
1211,TBDR49,,58010038
1211,TBDL36,,90010122
